participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4792,50,46,3,424.5,Post,image20.jpg,Classical_7.mp3,Both,6.0,4.0,,,image20.jpg,Classical_7.mp3,5.0,5.0,-2.0
4792,51,47,3,457.0,Post,image47.jpg,Cut_jazz_5.mp3,Music,2.0,1.0,1.0,2.0,,Cut_jazz_5.mp3,1.5,1.0,2.0
4792,52,48,1,886.0,Post,image34.jpg,Classical_2.mp3,Both,1.0,2.0,,,image34.jpg,Classical_2.mp3,1.5,1.5,-0.5
4792,53,49,2,1115.19999998808,Post,image17.jpg,Classical_15.mp3,Both,2.0,3.0,,,image17.jpg,Classical_15.mp3,2.5,2.5,-0.5
4792,54,50,1,673.800000011921,Post,image33.jpg,Classical_2.mp3,Image,1.0,2.0,1.0,2.0,image33.jpg,,1.5,1.0,0.0
4792,55,51,1,431.800000011921,Post,image4.jpg,Cut_jazz_2.mp3,Image,1.0,5.0,1.0,5.0,image4.jpg,,3.0,1.0,0.0
4792,56,52,3,718.899999976158,Post,image5.jpg,Cut_jazz_5.mp3,Image,7.0,1.0,7.0,1.0,image5.jpg,,4.0,7.0,-4.0
4792,57,53,1,699.0,Post,image36.jpg,Cut_jazz_1.mp3,Image,1.0,2.0,1.0,2.0,image36.jpg,,1.5,1.0,0.0
4792,4,54,2,1418.80000001192,Pre,image14.jpg,Cut_jazz_19.mp3,Both,1.0,7.0,,,image14.jpg,Cut_jazz_19.mp3,4.0,4.0,-2.0
4792,5,55,1,1166.80000001192,Pre,image17.jpg,Cut_jazz_14.mp3,Both,2.0,3.0,,,image17.jpg,Cut_jazz_14.mp3,2.5,2.5,-1.5
4792,6,56,2,1394.5,Pre,image35.jpg,Classical_7.mp3,Music,1.0,4.0,4.0,1.0,,Classical_7.mp3,2.5,4.0,-2.0
4792,7,57,1,892.5,Pre,image1.jpg,Cut_jazz_1.mp3,Image,2.0,2.0,2.0,2.0,image1.jpg,,2.0,2.0,-1.0
4792,8,58,3,1062.30000001192,Pre,image47.jpg,Classical_1.mp3,Music,2.0,4.0,4.0,2.0,,Classical_1.mp3,3.0,4.0,-1.0
4792,9,59,2,1082.5,Pre,image2.jpg,Classical_17.mp3,Image,2.0,3.0,2.0,3.0,image2.jpg,,2.5,2.0,0.0
4792,10,60,2,845.600000023842,Pre,image39.jpg,Cut_jazz_10.mp3,Music,9.0,2.0,2.0,9.0,,Cut_jazz_10.mp3,5.5,2.0,0.0
4792,11,61,3,1005.19999998808,Pre,image20.jpg,Classical_18.mp3,Music,6.0,4.0,4.0,6.0,,Classical_18.mp3,5.0,4.0,-1.0
4792,12,62,2,1165.0,Pre,image1.jpg,Classical_19.mp3,Music,2.0,5.0,5.0,2.0,,Classical_19.mp3,3.5,5.0,-3.0
4792,13,63,1,916.5,Pre,image4.jpg,Cut_jazz_10.mp3,Image,1.0,2.0,1.0,2.0,image4.jpg,,1.5,1.0,0.0
4792,14,64,1,848.100000023842,Pre,image15.jpg,Cut_jazz_16.mp3,Both,2.0,1.0,,,image15.jpg,Cut_jazz_16.mp3,1.5,1.5,-0.5
