participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4801,43,93,9,1025.0,Pre,image39.jpg,Cut_jazz_7.mp3,Both,9.0,6.0,,,image39.jpg,Cut_jazz_7.mp3,7.5,7.5,1.5
4801,44,94,2,954.0,Pre,image4.jpg,Cut_jazz_5.mp3,Both,2.0,1.0,,,image4.jpg,Cut_jazz_5.mp3,1.5,1.5,0.5
4801,45,95,3,474.0,Pre,image47.jpg,Classical_4.mp3,Both,6.0,3.0,,,image47.jpg,Classical_4.mp3,4.5,4.5,-1.5
4801,46,96,6,501.0,Pre,image3.jpg,Classical_15.mp3,Both,6.0,3.0,,,image3.jpg,Classical_15.mp3,4.5,4.5,1.5
4801,47,97,9,1020.0,Pre,image12.jpg,Cut_jazz_2.mp3,Image,9.0,7.0,9.0,7.0,image12.jpg,,8.0,9.0,0.0
4801,48,98,3,973.0,Pre,image36.jpg,Cut_jazz_5.mp3,Music,3.0,1.0,1.0,3.0,,Cut_jazz_5.mp3,2.0,1.0,2.0
4801,49,99,4,465.0,Pre,image10.jpg,Classical_19.mp3,Image,3.0,7.0,3.0,7.0,image10.jpg,,5.0,3.0,1.0
4801,50,100,7,489.0,Pre,image34.jpg,Classical_7.mp3,Both,9.0,8.0,,,image34.jpg,Classical_7.mp3,8.5,8.5,-1.5
4801,51,101,3,493.0,Pre,image52.jpg,Classical_1.mp3,Both,4.0,5.0,,,image52.jpg,Classical_1.mp3,4.5,4.5,-1.5
4801,52,102,9,1048.0,Pre,image39.jpg,Cut_jazz_5.mp3,Image,9.0,1.0,9.0,1.0,image39.jpg,,5.0,9.0,0.0
4801,53,103,1,876.0,Pre,image52.jpg,Classical_2.mp3,Music,4.0,1.0,1.0,4.0,,Classical_2.mp3,2.5,1.0,0.0
