"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
4801,"computer","43",1042,"4","Post","image52.jpg","Cut_jazz_10.mp3","Image"
4801,"computer","44",74,"6","Post","image33.jpg","Classical_4.mp3","Both"
4801,"computer","45",854,"5","Post","image10.jpg","Cut_jazz_19.mp3","Music"
4801,"computer","46",1050,"6","Post","image5.jpg","Cut_jazz_7.mp3","Both"
4801,"computer","47",1044,"5","Post","image1.jpg","Cut_jazz_19.mp3","Both"
4801,"computer","48",1010,"3","Post","image15.jpg","Classical_17.mp3","Both"
4801,"computer","49",872,"5","Post","image47.jpg","Cut_jazz_10.mp3","Both"
4801,"computer","50",451,"5","Post","image20.jpg","Classical_7.mp3","Both"
4801,"computer","51",441,"2","Post","image47.jpg","Cut_jazz_5.mp3","Music"
4801,"computer","52",933,"7","Post","image34.jpg","Classical_2.mp3","Both"
4801,"computer","53",853,"4","Post","image17.jpg","Classical_15.mp3","Both"
4801,"computer","54",400,"6","Post","image33.jpg","Classical_2.mp3","Image"
4801,"computer","55",950,"3","Post","image4.jpg","Cut_jazz_2.mp3","Image"
4801,"computer","56",901,"7","Post","image5.jpg","Cut_jazz_5.mp3","Image"
4801,"computer","57",1024,"6","Post","image36.jpg","Cut_jazz_1.mp3","Image"
4801,"computer","4",1009,"4","Pre","image14.jpg","Cut_jazz_19.mp3","Both"
4801,"computer","5",985,"5","Pre","image17.jpg","Cut_jazz_14.mp3","Both"
4801,"computer","6",982,"3","Pre","image35.jpg","Classical_7.mp3","Music"
4801,"computer","7",885,"4","Pre","image1.jpg","Cut_jazz_1.mp3","Image"
4801,"computer","8",999,"2","Pre","image47.jpg","Classical_1.mp3","Music"
4801,"computer","9",424,"6","Pre","image2.jpg","Classical_17.mp3","Image"
4801,"computer","10",443,"9","Pre","image39.jpg","Cut_jazz_10.mp3","Music"
4801,"computer","11",900,"3","Pre","image20.jpg","Classical_18.mp3","Music"
4801,"computer","12",903,"5","Pre","image1.jpg","Classical_19.mp3","Music"
4801,"computer","13",457,"1","Pre","image4.jpg","Cut_jazz_10.mp3","Image"
4801,"computer","14",54,"1","Pre","image15.jpg","Cut_jazz_16.mp3","Both"
4801,"computer","15",899,"4","Pre","image5.jpg","Classical_1.mp3","Image"
4801,"computer","16",939,"4","Pre","image33.jpg","Classical_8.mp3","Both"
4801,"computer","17",66,"7","Pre","image36.jpg","Cut_jazz_10.mp3","Both"
4801,"computer","18",895,"7","Pre","image3.jpg","Classical_18.mp3","Image"
4801,"computer","19",921,"3","Pre","image33.jpg","Classical_7.mp3","Image"
4801,"computer","20",488,"1","Pre","image1.jpg","Cut_jazz_2.mp3","Both"
4801,"computer","21",871,"2","Pre","image4.jpg","Cut_jazz_7.mp3","Music"
4801,"computer","22",1017,"7","Pre","image20.jpg","Classical_17.mp3","Both"
4801,"computer","23",868,"3","Pre","image17.jpg","Cut_jazz_16.mp3","Music"
4801,"computer","24",914,"5","Pre","image20.jpg","Classical_15.mp3","Image"
4801,"computer","25",840,"7","Pre","image14.jpg","Cut_jazz_14.mp3","Music"
4801,"computer","26",898,"6","Pre","image2.jpg","Classical_15.mp3","Music"
4801,"computer","27",458,"1","Pre","image36.jpg","Cut_jazz_7.mp3","Image"
4801,"computer","28",435,"8","Pre","image14.jpg","Cut_jazz_16.mp3","Image"
4801,"computer","29",416,"6","Pre","image33.jpg","Classical_6.mp3","Music"
4801,"computer","30",1027,"1","Pre","image5.jpg","Classical_4.mp3","Music"
