Prolific_ID,Participant.Device.Type,Trial.Number,Reaction.Time,Response,stimulus,modality
5005,computer,25,9.815629266,3,Musics/Music8.wav,Music
5005,computer,26,8.964785909,7,Musics/Music9.wav,Music
5005,computer,27,9.049665284,7,Musics/Music10.wav,Music
5005,computer,28,9.499577966,8,Musics/Music11.wav,Music
5005,computer,29,9.205031322,8,Musics/Music12.wav,Music
5005,computer,30,8.862939059,7,Musics/Music13.wav,Music
5005,computer,31,9.6322937,8,Musics/Music14.wav,Music
5005,computer,32,9.129898421,7,Musics/Music15.wav,Music
5005,computer,33,11.24994005,4,Musics/Music16.wav,Music
5005,computer,34,9.426077407,6,Musics/Music17.wav,Music
5005,computer,35,11.56805464,4,Musics/Music18.wav,Music
5006,computer,0,9.467661441,2,Images/Image1.jpg,Image
5006,computer,1,9.907949572,8,Images/Image2.jpg,Image
5006,computer,2,8.980280797,6,Images/Image3.jpg,Image
5006,computer,3,9.394094603,2,Images/Image4.jpg,Image
5006,computer,4,8.775999948,6,Images/Image5.jpg,Image
5006,computer,5,9.16486611,2,Images/Image6.jpg,Image
5006,computer,6,10.09628296,4,Images/Image7.jpg,Image
5006,computer,7,9.124798528,7,Images/Image8.jpg,Image
5006,computer,8,10.42622794,6,Images/Image9.jpg,Image
5006,computer,9,8.689017651,8,Images/Image10.jpg,Image
5006,computer,10,9.418030442,7,Images/Image11.jpg,Image
5006,computer,11,10.97302077,7,Images/Image12.jpg,Image
5006,computer,12,11.07926015,3,Images/Image13.jpg,Image
5006,computer,13,16.65477339,2,Images/Image14.jpg,Image
5006,computer,14,10.01601063,8,Images/Image15.jpg,Image
5006,computer,15,9.469838926,7,Images/Image16.jpg,Image
5006,computer,16,8.962314465,8,Images/Image17.jpg,Image
5006,computer,17,9.438391388,7,Images/Image18.jpg,Image
5006,computer,18,9.79549435,6,Musics/Music1.wav,Music
5006,computer,19,9.458891656,5,Musics/Music2.wav,Music
5006,computer,20,8.901006635,5,Musics/Music3.wav,Music
5006,computer,21,10.85910004,4,Musics/Music4.wav,Music
5006,computer,22,8.898332849,2,Musics/Music5.wav,Music
5006,computer,23,8.67741876,8,Musics/Music6.wav,Music
5006,computer,24,9.164772084,7,Musics/Music7.wav,Music
5006,computer,25,10.67710004,6,Musics/Music8.wav,Music
5006,computer,26,8.839506474,4,Musics/Music9.wav,Music
5006,computer,27,11.36863391,3,Musics/Music10.wav,Music
5006,computer,28,19.19685115,7,Musics/Music11.wav,Music
5006,computer,29,11.73620764,7,Musics/Music12.wav,Music
5006,computer,30,8.845391148,7,Musics/Music13.wav,Music
5006,computer,31,10.19159373,9,Musics/Music14.wav,Music
5006,computer,32,8.674085355,7,Musics/Music15.wav,Music
5006,computer,33,9.32240699,6,Musics/Music16.wav,Music
5006,computer,34,9.298096827,7,Musics/Music17.wav,Music
5006,computer,35,8.46750498,5,Musics/Music18.wav,Music
5007,computer,0,8.869637777,2,Images/Image1.jpg,Image
5007,computer,1,8.940306254,7,Images/Image2.jpg,Image
5007,computer,2,9.602759048,6,Images/Image3.jpg,Image
5007,computer,3,9.079852971,3,Images/Image4.jpg,Image
5007,computer,4,8.78791876,2,Images/Image5.jpg,Image
5007,computer,5,8.676433308,6,Images/Image6.jpg,Image
5007,computer,6,9.129163803,7,Images/Image7.jpg,Image
5007,computer,7,9.264443972,8,Images/Image8.jpg,Image
5007,computer,8,9.031935501,2,Images/Image9.jpg,Image
5007,computer,9,9.600728178,3,Images/Image10.jpg,Image
5007,computer,10,8.697297322,3,Images/Image11.jpg,Image
5007,computer,11,10.11312145,7,Images/Image12.jpg,Image
5007,computer,12,8.748534995,2,Images/Image13.jpg,Image
5007,computer,13,9.202662578,1,Images/Image14.jpg,Image
5007,computer,14,9.255214714,6,Images/Image15.jpg,Image
5007,computer,15,8.702906112,8,Images/Image16.jpg,Image
5007,computer,16,8.806514677,3,Images/Image17.jpg,Image
5007,computer,17,8.962129675,2,Images/Image18.jpg,Image
5007,computer,18,8.504319102,7,Musics/Music1.wav,Music
5007,computer,19,8.817559483,8,Musics/Music2.wav,Music
5007,computer,20,11.79883228,6,Musics/Music3.wav,Music
5007,computer,21,9.435417823,7,Musics/Music4.wav,Music
5007,computer,22,10.5344253,1,Musics/Music5.wav,Music
5007,computer,23,8.798428536,3,Musics/Music6.wav,Music
5007,computer,24,8.322594418,5,Musics/Music7.wav,Music
5007,computer,25,11.50882412,3,Musics/Music8.wav,Music
5007,computer,26,8.596007947,6,Musics/Music9.wav,Music
