Prolific_ID,Participant.Divice.Type,Trial.Number,Reaction.Time,Response,Display,ImageStim,MusicStim,StimCued
5007,computer,50,0.737872691,7,Pre,Images/Image2.jpg,Musics/Music2.wav,Image
5007,computer,51,1.219023978,3,Pre,Images/Image11.jpg,Musics/Music11.wav,Both
5007,computer,52,1.677548436,2,Pre,Images/Image18.jpg,Musics/Music18.wav,Music
5007,computer,53,1.78490735,4,Pre,Images/Image15.jpg,Musics/Music15.wav,Both
5007,computer,0,8.733354273,7,Post,Images/Image18.jpg,Musics/Music18.wav,Image
5007,computer,1,1.761006996,3,Post,Images/Image5.jpg,Musics/Music5.wav,Image
5007,computer,2,2.529121091,6,Post,Images/Image17.jpg,Musics/Music17.wav,Music
5007,computer,3,1.690403164,4,Post,Images/Image9.jpg,Musics/Music9.wav,Both
5007,computer,4,1.956320081,7,Post,Images/Image7.jpg,Musics/Music7.wav,Both
5007,computer,5,0.997423111,6,Post,Images/Image10.jpg,Musics/Music10.wav,Image
5007,computer,6,1.745578737,2,Post,Images/Image13.jpg,Musics/Music13.wav,Image
5007,computer,7,1.772221131,7,Post,Images/Image1.jpg,Musics/Music1.wav,Music
5007,computer,8,2.528975447,4,Post,Images/Image17.jpg,Musics/Music17.wav,Both
5007,computer,9,2.912656803,8,Post,Images/Image2.jpg,Musics/Music2.wav,Both
5007,computer,10,4.146605208,3,Post,Images/Image15.jpg,Musics/Music15.wav,Music
5007,computer,11,3.678348526,7,Post,Images/Image13.jpg,Musics/Music13.wav,Music
5007,computer,12,6.061145944,8,Post,Images/Image6.jpg,Musics/Music6.wav,Both
5007,computer,13,4.693647292,3,Post,Images/Image9.jpg,Musics/Music9.wav,Image
5007,computer,14,2.813320261,2,Post,Images/Image17.jpg,Musics/Music17.wav,Image
5007,computer,15,1.997370358,8,Post,Images/Image3.jpg,Musics/Music3.wav,Image
5007,computer,16,2.280010724,5,Post,Images/Image8.jpg,Musics/Music8.wav,Both
5007,computer,17,2.397870183,7,Post,Images/Image16.jpg,Musics/Music16.wav,Both
5007,computer,18,1.719305849,6,Post,Images/Image14.jpg,Musics/Music14.wav,Music
5007,computer,19,2.049263561,2,Post,Images/Image11.jpg,Musics/Music11.wav,Image
5007,computer,20,1.086323856,2,Post,Images/Image1.jpg,Musics/Music1.wav,Image
5007,computer,21,1.237478695,1,Post,Images/Image5.jpg,Musics/Music5.wav,Music
5007,computer,22,2.060717174,6,Post,Images/Image4.jpg,Musics/Music4.wav,Image
5007,computer,23,2.538333344,3,Post,Images/Image11.jpg,Musics/Music11.wav,Music
5007,computer,24,5.715658935,7,Post,Images/Image6.jpg,Musics/Music6.wav,Music
5007,computer,25,1.089726801,6,Post,Images/Image4.jpg,Musics/Music4.wav,Music
5007,computer,26,1.568335733,2,Post,Images/Image15.jpg,Musics/Music15.wav,Both
5007,computer,27,1.358087321,7,Post,Images/Image7.jpg,Musics/Music7.wav,Image
5007,computer,28,5.09989735,6,Post,Images/Image8.jpg,Musics/Music8.wav,Image
5007,computer,29,1.45863263,5,Post,Images/Image1.jpg,Musics/Music1.wav,Both
5007,computer,30,2.280012657,2,Post,Images/Image14.jpg,Musics/Music14.wav,Image
5007,computer,31,1.130602246,2,Post,Images/Image8.jpg,Musics/Music8.wav,Music
5007,computer,32,4.597887274,7,Post,Images/Image7.jpg,Musics/Music7.wav,Music
5007,computer,33,1.335858994,8,Post,Images/Image18.jpg,Musics/Music18.wav,Both
5007,computer,34,1.421782856,7,Post,Images/Image10.jpg,Musics/Music10.wav,Music
5007,computer,35,1.585639511,8,Post,Images/Image12.jpg,Musics/Music12.wav,Both
5007,computer,36,3.057422596,6,Post,Images/Image16.jpg,Musics/Music16.wav,Music
5007,computer,37,1.363491826,7,Post,Images/Image3.jpg,Musics/Music3.wav,Both
5007,computer,38,2.538387775,7,Post,Images/Image2.jpg,Musics/Music2.wav,Image
5007,computer,39,5.632819095,8,Post,Images/Image12.jpg,Musics/Music12.wav,Music
5007,computer,40,0.827067677,7,Post,Images/Image18.jpg,Musics/Music18.wav,Music
5007,computer,41,1.533293813,4,Post,Images/Image3.jpg,Musics/Music3.wav,Music
5007,computer,42,1.681511343,4,Post,Images/Image11.jpg,Musics/Music11.wav,Both
5007,computer,43,1.301631512,3,Post,Images/Image16.jpg,Musics/Music16.wav,Image
5007,computer,44,2.361092399,6,Post,Images/Image10.jpg,Musics/Music10.wav,Both
5007,computer,45,0.606349181,6,Post,Images/Image9.jpg,Musics/Music9.wav,Music
5007,computer,46,1.649018945,7,Post,Images/Image2.jpg,Musics/Music2.wav,Music
5007,computer,47,1.641347654,1,Post,Images/Image5.jpg,Musics/Music5.wav,Both
5007,computer,48,2.451858412,3,Post,Images/Image6.jpg,Musics/Music6.wav,Image
5007,computer,49,0.958687005,6,Post,Images/Image12.jpg,Musics/Music12.wav,Image
5007,computer,50,1.071526712,4,Post,Images/Image14.jpg,Musics/Music14.wav,Both
5007,computer,51,0.955545618,6,Post,Images/Image4.jpg,Musics/Music4.wav,Both
5007,computer,52,1.023591646,3,Post,Images/Image15.jpg,Musics/Music15.wav,Image
5007,computer,53,0.804300634,5,Post,Images/Image13.jpg,Musics/Music13.wav,Both
5008,computer,0,1.38512292,4,Pre,Images/Image10.jpg,Musics/Music10.wav,Music
5008,computer,1,2.197655979,7,Pre,Images/Image1.jpg,Musics/Music1.wav,Both
5008,computer,2,1.925627269,8,Pre,Images/Image14.jpg,Musics/Music14.wav,Both
5008,computer,3,3.256874888,5,Pre,Images/Image17.jpg,Musics/Music17.wav,Music
5008,computer,4,1.033783845,4,Pre,Images/Image17.jpg,Musics/Music17.wav,Both
5008,computer,5,0.912007264,3,Pre,Images/Image11.jpg,Musics/Music11.wav,Image
5008,computer,6,2.230874014,6,Pre,Images/Image3.jpg,Musics/Music3.wav,Music
5008,computer,7,1.854207688,6,Pre,Images/Image6.jpg,Musics/Music6.wav,Image
5008,computer,8,0.79980597,8,Pre,Images/Image14.jpg,Musics/Music14.wav,Image
5008,computer,9,0.970700369,5,Pre,Images/Image8.jpg,Musics/Music8.wav,Image
5008,computer,10,0.882323499,7,Pre,Images/Image16.jpg,Musics/Music16.wav,Image
5008,computer,11,1.036736708,9,Pre,Images/Image5.jpg,Musics/Music5.wav,Both
5008,computer,12,0.839993106,5,Pre,Images/Image16.jpg,Musics/Music16.wav,Music
5008,computer,13,0.983513875,7,Pre,Images/Image1.jpg,Musics/Music1.wav,Music
5008,computer,14,0.611739782,5,Pre,Images/Image7.jpg,Musics/Music7.wav,Image
5008,computer,15,0.984281253,6,Pre,Images/Image14.jpg,Musics/Music14.wav,Music
5008,computer,16,1.493906398,3,Pre,Images/Image15.jpg,Musics/Music15.wav,Both
5008,computer,17,1.450458449,2,Pre,Images/Image4.jpg,Musics/Music4.wav,Music
5008,computer,18,1.057010171,4,Pre,Images/Image8.jpg,Musics/Music8.wav,Music
5008,computer,19,1.017715709,6,Pre,Images/Image2.jpg,Musics/Music2.wav,Image
5008,computer,20,0.856278526,9,Pre,Images/Image5.jpg,Musics/Music5.wav,Image
5008,computer,21,0.596579215,1,Pre,Images/Image18.jpg,Musics/Music18.wav,Music
5008,computer,22,0.854510958,3,Pre,Images/Image12.jpg,Musics/Music12.wav,Image
5008,computer,23,0.788369045,4,Pre,Images/Image15.jpg,Musics/Music15.wav,Music
5008,computer,24,0.69600794,3,Pre,Images/Image11.jpg,Musics/Music11.wav,Both
5008,computer,25,1.644552039,3,Pre,Images/Image9.jpg,Musics/Music9.wav,Music
5008,computer,26,0.895910959,5,Pre,Images/Image1.jpg,Musics/Music1.wav,Image
5008,computer,27,1.044424251,2,Pre,Images/Image10.jpg,Musics/Music10.wav,Both
5008,computer,28,1.215142508,3,Pre,Images/Image9.jpg,Musics/Music9.wav,Image
5008,computer,29,1.198055633,2,Pre,Images/Image11.jpg,Musics/Music11.wav,Music
5008,computer,30,1.106413374,2,Pre,Images/Image6.jpg,Musics/Music6.wav,Music
5008,computer,31,1.598628632,7,Pre,Images/Image2.jpg,Musics/Music2.wav,Both
5008,computer,32,0.807515593,1,Pre,Images/Image18.jpg,Musics/Music18.wav,Both
5008,computer,33,1.358520445,7,Pre,Images/Image2.jpg,Musics/Music2.wav,Music
5008,computer,34,0.870382468,6,Pre,Images/Image6.jpg,Musics/Music6.wav,Both
5008,computer,35,1.082045017,2,Pre,Images/Image4.jpg,Musics/Music4.wav,Both
5008,computer,36,0.908690888,2,Pre,Images/Image18.jpg,Musics/Music18.wav,Image
5008,computer,37,0.825500766,4,Pre,Images/Image17.jpg,Musics/Music17.wav,Image
5008,computer,38,1.134856699,1,Pre,Images/Image13.jpg,Musics/Music13.wav,Music
5008,computer,39,0.805111937,5,Pre,Images/Image12.jpg,Musics/Music12.wav,Music
5008,computer,40,0.933187898,7,Pre,Images/Image7.jpg,Musics/Music7.wav,Music
5008,computer,41,0.870535492,6,Pre,Images/Image8.jpg,Musics/Music8.wav,Both
5008,computer,42,0.84655985,3,Pre,Images/Image16.jpg,Musics/Music16.wav,Both
5008,computer,43,0.570708594,1,Pre,Images/Image13.jpg,Musics/Music13.wav,Both
5008,computer,44,1.210656554,2,Pre,Images/Image4.jpg,Musics/Music4.wav,Image
5008,computer,45,0.966370578,6,Pre,Images/Image12.jpg,Musics/Music12.wav,Both
5008,computer,46,2.419915475,4,Pre,Images/Image9.jpg,Musics/Music9.wav,Both
5008,computer,47,1.004453482,7,Pre,Images/Image3.jpg,Musics/Music3.wav,Image
5008,computer,48,0.535958952,7,Pre,Images/Image3.jpg,Musics/Music3.wav,Both
5008,computer,49,2.231478526,3,Pre,Images/Image15.jpg,Musics/Music15.wav,Image
5008,computer,50,6.441715967,3,Pre,Images/Image13.jpg,Musics/Music13.wav,Image
5008,computer,51,0.884810951,5,Pre,Images/Image7.jpg,Musics/Music7.wav,Both
5008,computer,52,1.775773747,2,Pre,Images/Image10.jpg,Musics/Music10.wav,Image
5008,computer,53,1.837806274,9,Pre,Images/Image5.jpg,Musics/Music5.wav,Music
5008,computer,0,1.719249744,6,Post,Images/Image14.jpg,Musics/Music14.wav,Music
5008,computer,1,0.965957414,8,Post,Images/Image2.jpg,Musics/Music2.wav,Image
5008,computer,2,0.960143286,8,Post,Images/Image2.jpg,Musics/Music2.wav,Music
5008,computer,3,0.884511634,2,Post,Images/Image11.jpg,Musics/Music11.wav,Music
5008,computer,4,2.285747487,6,Post,Images/Image17.jpg,Musics/Music17.wav,Music
5008,computer,5,1.243601147,1,Post,Images/Image13.jpg,Musics/Music13.wav,Image
5008,computer,6,1.15186892,7,Post,Images/Image16.jpg,Musics/Music16.wav,Image
5008,computer,7,0.798709908,2,Post,Images/Image4.jpg,Musics/Music4.wav,Both
5008,computer,8,1.110763036,3,Post,Images/Image10.jpg,Musics/Music10.wav,Music
5008,computer,9,0.946009619,7,Post,Images/Image3.jpg,Musics/Music3.wav,Both
5008,computer,10,0.940792167,7,Post,Images/Image16.jpg,Musics/Music16.wav,Music
5008,computer,11,0.739562847,4,Post,Images/Image9.jpg,Musics/Music9.wav,Both
5008,computer,12,0.789793694,6,Post,Images/Image7.jpg,Musics/Music7.wav,Image
5008,computer,13,1.495529447,2,Post,Images/Image10.jpg,Musics/Music10.wav,Image
5008,computer,14,0.889496476,4,Post,Images/Image6.jpg,Musics/Music6.wav,Music
5008,computer,15,0.93103177,7,Post,Images/Image1.jpg,Musics/Music1.wav,Music
5008,computer,16,1.389829657,2,Post,Images/Image4.jpg,Musics/Music4.wav,Image
5008,computer,17,1.21778952,7,Post,Images/Image12.jpg,Musics/Music12.wav,Music
5008,computer,18,1.276636103,4,Post,Images/Image18.jpg,Musics/Music18.wav,Music
5008,computer,19,1.115127284,4,Post,Images/Image15.jpg,Musics/Music15.wav,Music
5008,computer,20,0.897715834,6,Post,Images/Image16.jpg,Musics/Music16.wav,Both
5008,computer,21,0.979457397,4,Post,Images/Image15.jpg,Musics/Music15.wav,Both
5008,computer,22,1.786574672,4,Post,Images/Image17.jpg,Musics/Music17.wav,Image
5008,computer,23,2.419120165,4,Post,Images/Image7.jpg,Musics/Music7.wav,Music
5008,computer,24,1.664861778,5,Post,Images/Image6.jpg,Musics/Music6.wav,Both
5008,computer,25,0.818241532,2,Post,Images/Image13.jpg,Musics/Music13.wav,Both
5008,computer,26,0.978619834,4,Post,Images/Image17.jpg,Musics/Music17.wav,Both
5008,computer,27,1.198980241,7,Post,Images/Image3.jpg,Musics/Music3.wav,Music
5008,computer,28,1.077218058,2,Post,Images/Image11.jpg,Musics/Music11.wav,Both
5008,computer,29,1.236265778,7,Post,Images/Image2.jpg,Musics/Music2.wav,Both
5008,computer,30,0.836611824,7,Post,Images/Image8.jpg,Musics/Music8.wav,Both
5008,computer,31,0.975624749,2,Post,Images/Image18.jpg,Musics/Music18.wav,Image
5008,computer,32,1.061259759,2,Post,Images/Image11.jpg,Musics/Music11.wav,Image
5008,computer,33,1.365301784,3,Post,Images/Image9.jpg,Musics/Music9.wav,Music
5008,computer,34,0.873685459,8,Post,Images/Image3.jpg,Musics/Music3.wav,Image
5008,computer,35,1.168382057,3,Post,Images/Image9.jpg,Musics/Music9.wav,Image
5008,computer,36,0.870044868,9,Post,Images/Image5.jpg,Musics/Music5.wav,Image
5008,computer,37,0.794389122,2,Post,Images/Image4.jpg,Musics/Music4.wav,Music
5008,computer,38,0.80258186,3,Post,Images/Image8.jpg,Musics/Music8.wav,Music
5008,computer,39,0.843448115,3,Post,Images/Image8.jpg,Musics/Music8.wav,Image
5008,computer,40,0.898782404,5,Post,Images/Image1.jpg,Musics/Music1.wav,Image
5008,computer,41,1.122374249,7,Post,Images/Image12.jpg,Musics/Music12.wav,Both
5008,computer,42,0.816271097,9,Post,Images/Image5.jpg,Musics/Music5.wav,Music
5008,computer,43,0.834992511,6,Post,Images/Image14.jpg,Musics/Music14.wav,Image
5008,computer,44,0.694935831,2,Post,Images/Image15.jpg,Musics/Music15.wav,Image
5008,computer,45,0.785803654,1,Post,Images/Image13.jpg,Musics/Music13.wav,Music
5008,computer,46,0.951687057,9,Post,Images/Image5.jpg,Musics/Music5.wav,Both
5008,computer,47,2.116151041,3,Post,Images/Image6.jpg,Musics/Music6.wav,Image
5008,computer,48,0.799064816,3,Post,Images/Image7.jpg,Musics/Music7.wav,Both
5008,computer,49,0.646262099,5,Post,Images/Image1.jpg,Musics/Music1.wav,Both
5008,computer,50,0.977603874,1,Post,Images/Image18.jpg,Musics/Music18.wav,Both
5008,computer,51,1.658307043,3,Post,Images/Image12.jpg,Musics/Music12.wav,Image
5008,computer,52,2.078873442,5,Post,Images/Image14.jpg,Musics/Music14.wav,Both
5008,computer,53,1.311526767,2,Post,Images/Image10.jpg,Musics/Music10.wav,Both
5009,computer,0,2.581566159,5,Pre,Images/Image4.jpg,Musics/Music4.wav,Image
5009,computer,1,1.465173083,3,Pre,Images/Image3.jpg,Musics/Music3.wav,Image
5009,computer,2,2.771523439,6,Pre,Images/Image6.jpg,Musics/Music6.wav,Music
5009,computer,3,1.90913581,5,Pre,Images/Image7.jpg,Musics/Music7.wav,Both
5009,computer,4,2.362038827,6,Pre,Images/Image2.jpg,Musics/Music2.wav,Image
5009,computer,5,1.775994477,7,Pre,Images/Image13.jpg,Musics/Music13.wav,Music
5009,computer,6,1.208089045,4,Pre,Images/Image8.jpg,Musics/Music8.wav,Music
5009,computer,7,1.015735945,3,Pre,Images/Image18.jpg,Musics/Music18.wav,Image
5009,computer,8,0.771682145,2,Pre,Images/Image3.jpg,Musics/Music3.wav,Music
5009,computer,9,1.414644666,6,Pre,Images/Image1.jpg,Musics/Music1.wav,Both
5009,computer,10,0.888741124,5,Pre,Images/Image14.jpg,Musics/Music14.wav,Music
5009,computer,11,1.076816185,6,Pre,Images/Image12.jpg,Musics/Music12.wav,Music
5009,computer,12,1.281850228,4,Pre,Images/Image1.jpg,Musics/Music1.wav,Image
5009,computer,13,3.424001087,4,Pre,Images/Image2.jpg,Musics/Music2.wav,Music
5009,computer,14,3.229323898,6,Pre,Images/Image17.jpg,Musics/Music17.wav,Image
5009,computer,15,1.177710388,7,Pre,Images/Image8.jpg,Musics/Music8.wav,Image
5009,computer,16,1.003317639,6,Pre,Images/Image10.jpg,Musics/Music10.wav,Image
5009,computer,17,2.565273173,7,Pre,Images/Image15.jpg,Musics/Music15.wav,Music
5009,computer,18,1.625965676,4,Pre,Images/Image7.jpg,Musics/Music7.wav,Image
5009,computer,19,1.922790499,7,Pre,Images/Image14.jpg,Musics/Music14.wav,Both
5009,computer,20,0.991938854,4,Pre,Images/Image6.jpg,Musics/Music6.wav,Both
5009,computer,21,1.263843324,7,Pre,Images/Image11.jpg,Musics/Music11.wav,Music
5009,computer,22,0.986643946,4,Pre,Images/Image17.jpg,Musics/Music17.wav,Both
5009,computer,23,1.018560046,5,Pre,Images/Image4.jpg,Musics/Music4.wav,Music
5009,computer,24,2.260011533,6,Pre,Images/Image16.jpg,Musics/Music16.wav,Image
5009,computer,25,2.094476816,4,Pre,Images/Image6.jpg,Musics/Music6.wav,Image
5009,computer,26,1.496622122,3,Pre,Images/Image1.jpg,Musics/Music1.wav,Music
5009,computer,27,1.669818248,6,Pre,Images/Image9.jpg,Musics/Music9.wav,Both
5009,computer,28,1.617812738,4,Pre,Images/Image16.jpg,Musics/Music16.wav,Both
5009,computer,29,1.353872739,7,Pre,Images/Image9.jpg,Musics/Music9.wav,Music
5009,computer,30,1.18086861,4,Pre,Images/Image14.jpg,Musics/Music14.wav,Image
5009,computer,31,1.565764635,6,Pre,Images/Image12.jpg,Musics/Music12.wav,Both
5009,computer,32,1.406093478,4,Pre,Images/Image13.jpg,Musics/Music13.wav,Both
5009,computer,33,1.264038342,3,Pre,Images/Image5.jpg,Musics/Music5.wav,Image
5009,computer,34,1.264475528,4,Pre,Images/Image13.jpg,Musics/Music13.wav,Image
5009,computer,35,0.983203495,5,Pre,Images/Image4.jpg,Musics/Music4.wav,Both
5009,computer,36,1.882745553,1,Pre,Images/Image5.jpg,Musics/Music5.wav,Both
5009,computer,37,1.497991179,6,Pre,Images/Image16.jpg,Musics/Music16.wav,Music
5009,computer,38,0.836718378,5,Pre,Images/Image2.jpg,Musics/Music2.wav,Both
5009,computer,39,1.128288917,6,Pre,Images/Image12.jpg,Musics/Music12.wav,Image
5009,computer,40,1.1162807,1,Pre,Images/Image5.jpg,Musics/Music5.wav,Music
5009,computer,41,0.95315462,4,Pre,Images/Image7.jpg,Musics/Music7.wav,Music
5009,computer,42,1.129452658,6,Pre,Images/Image11.jpg,Musics/Music11.wav,Image
5009,computer,43,1.962242816,5,Pre,Images/Image17.jpg,Musics/Music17.wav,Music
5009,computer,44,1.277074097,4,Pre,Images/Image18.jpg,Musics/Music18.wav,Both
5009,computer,45,1.103428816,6,Pre,Images/Image9.jpg,Musics/Music9.wav,Image
5009,computer,46,1.116586282,5,Pre,Images/Image15.jpg,Musics/Music15.wav,Both
5009,computer,47,1.009317628,6,Pre,Images/Image10.jpg,Musics/Music10.wav,Music
5009,computer,48,0.872767949,5,Pre,Images/Image8.jpg,Musics/Music8.wav,Both
5009,computer,49,1.70027267,5,Pre,Images/Image10.jpg,Musics/Music10.wav,Both
5009,computer,50,1.289888966,7,Pre,Images/Image11.jpg,Musics/Music11.wav,Both
5009,computer,51,1.928735437,5,Pre,Images/Image18.jpg,Musics/Music18.wav,Music
5009,computer,52,2.221225071,6,Pre,Images/Image15.jpg,Musics/Music15.wav,Image
5009,computer,53,1.117326913,4,Pre,Images/Image3.jpg,Musics/Music3.wav,Both
5009,computer,0,2.37776104,4,Post,Images/Image2.jpg,Musics/Music2.wav,Music
5009,computer,1,2.160731367,4,Post,Images/Image6.jpg,Musics/Music6.wav,Both
5009,computer,2,1.475841113,4,Post,Images/Image13.jpg,Musics/Music13.wav,Image
5009,computer,3,1.301038268,6,Post,Images/Image4.jpg,Musics/Music4.wav,Both
5009,computer,4,1.155349139,7,Post,Images/Image8.jpg,Musics/Music8.wav,Image
