"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
"5ddb5ed4a64380abb2907440","computer","41","1358","6","Post","image39.jpg","Cut_jazz_2.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","42","573","5","Post","image3.jpg","Classical_6.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","43","868","5","Post","image52.jpg","Cut_jazz_10.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","44","1246","7","Post","image33.jpg","Classical_4.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","45","1023","5","Post","image10.jpg","Cut_jazz_19.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","46","1814","7","Post","image5.jpg","Cut_jazz_7.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","47","1020","6","Post","image1.jpg","Cut_jazz_19.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","48","1736","3","Post","image15.jpg","Classical_17.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","49","2016","2","Post","image47.jpg","Cut_jazz_10.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","50","1749","6","Post","image20.jpg","Classical_7.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","51","2212","3","Post","image47.jpg","Cut_jazz_5.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","52","732","1","Post","image34.jpg","Classical_2.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","53","938","7","Post","image17.jpg","Classical_15.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","54","921","2","Post","image33.jpg","Classical_2.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","55","786","1","Post","image4.jpg","Cut_jazz_2.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","56","943","7","Post","image5.jpg","Cut_jazz_5.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","57","1344","1","Post","image36.jpg","Cut_jazz_1.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","4","2253","8","Pre","image14.jpg","Cut_jazz_19.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","5","819","7","Pre","image17.jpg","Cut_jazz_14.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","6","1527","5","Pre","image35.jpg","Classical_7.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","7","1120","1","Pre","image1.jpg","Cut_jazz_1.mp3","Image"
