participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
5ddb5ed4a64380abb2907440,57,107,3,1994.0,Pre,image15.jpg,Cut_jazz_14.mp3,Image,1.0,7.0,1.0,7.0,image15.jpg,,4.0,1.0,2.0
5d847ac9be4b0b00188463d7,4,108,5,1587.69999999925,Post,image17.jpg,Cut_jazz_7.mp3,Music,6.0,6.0,6.0,6.0,,Cut_jazz_7.mp3,6.0,6.0,-1.0
5d847ac9be4b0b00188463d7,5,109,3,2966.69999999925,Post,image36.jpg,Classical_2.mp3,Image,1.0,5.0,1.0,5.0,image36.jpg,,3.0,1.0,2.0
5d847ac9be4b0b00188463d7,6,110,8,817.599999997765,Post,image20.jpg,Cut_jazz_2.mp3,Music,9.0,2.0,2.0,9.0,,Cut_jazz_2.mp3,5.5,2.0,6.0
5d847ac9be4b0b00188463d7,7,111,6,2449.60000000149,Post,image35.jpg,Cut_jazz_16.mp3,Music,1.0,3.0,3.0,1.0,,Cut_jazz_16.mp3,2.0,3.0,3.0
5d847ac9be4b0b00188463d7,8,112,1,662.199999999255,Post,image1.jpg,Classical_17.mp3,Image,1.0,5.0,1.0,5.0,image1.jpg,,3.0,1.0,0.0
5d847ac9be4b0b00188463d7,9,113,1,963.70000000298,Post,image47.jpg,Classical_7.mp3,Image,1.0,6.0,1.0,6.0,image47.jpg,,3.5,1.0,0.0
5d847ac9be4b0b00188463d7,10,114,3,1098.30000000075,Post,image17.jpg,Cut_jazz_10.mp3,Image,6.0,2.0,6.0,2.0,image17.jpg,,4.0,6.0,-3.0
5d847ac9be4b0b00188463d7,11,115,7,1489.30000000075,Post,image12.jpg,Classical_17.mp3,Music,1.0,5.0,5.0,1.0,,Classical_17.mp3,3.0,5.0,2.0
5d847ac9be4b0b00188463d7,12,116,1,776.10000000149,Post,image15.jpg,Cut_jazz_5.mp3,Image,1.0,1.0,1.0,1.0,image15.jpg,,1.0,1.0,0.0
5d847ac9be4b0b00188463d7,13,117,6,1200.20000000298,Post,image36.jpg,Classical_1.mp3,Music,1.0,7.0,7.0,1.0,,Classical_1.mp3,4.0,7.0,-1.0
5d847ac9be4b0b00188463d7,14,118,2,2746.80000000075,Post,image15.jpg,Cut_jazz_7.mp3,Both,1.0,6.0,,,image15.jpg,Cut_jazz_7.mp3,3.5,3.5,-1.5
5d847ac9be4b0b00188463d7,15,119,6,1126.69999999925,Post,image52.jpg,Classical_8.mp3,Image,4.0,2.0,4.0,2.0,image52.jpg,,3.0,4.0,2.0
5d847ac9be4b0b00188463d7,16,120,2,1431.60000000149,Post,image35.jpg,Cut_jazz_19.mp3,Image,1.0,9.0,1.0,9.0,image35.jpg,,5.0,1.0,1.0
5d847ac9be4b0b00188463d7,17,121,6,947.39999999851,Post,image3.jpg,Cut_jazz_2.mp3,Image,5.0,2.0,5.0,2.0,image3.jpg,,3.5,5.0,1.0
5d847ac9be4b0b00188463d7,18,122,7,1360.20000000298,Post,image14.jpg,Cut_jazz_7.mp3,Image,2.0,6.0,2.0,6.0,image14.jpg,,4.0,2.0,5.0
5d847ac9be4b0b00188463d7,19,123,6,744.39999999851,Post,image52.jpg,Classical_7.mp3,Music,4.0,6.0,6.0,4.0,,Classical_7.mp3,5.0,6.0,0.0
5d847ac9be4b0b00188463d7,20,124,2,1378.30000000075,Post,image1.jpg,Classical_18.mp3,Both,1.0,5.0,,,image1.jpg,Classical_18.mp3,3.0,3.0,-1.0
